SortOrder;Days Before LU;Location;Merchant Category;KI Country;KI Alpha2;Longitude;Latitude;AVG Spend;Anz Trx;AVG Spend;Anz Trx;Sum;MyLocation
1;9;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;XS;XXS;2;1;2;Luzern
2;9;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XXS;5;1;5;Luzern
3;8;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XS;5;2;10;Luzern
4;8;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
5;7;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;S;XXS;3;1;3;Luzern
6;7;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XS;5;2;10;Luzern
7;7;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;XXS;2;1;2;Luzern
8;7;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XXS;5;1;5;Luzern
9;6;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
10;5;Bern;Transportation;United Arab Emirates;AE;7.41;46.95;XS;XXS;2;1;2;Luzern
11;5;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;S;XXS;3;1;3;Luzern
12;5;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
13;5;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
14;5;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
15;5;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;XXS;3;1;3;Luzern
16;5;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
17;4;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XS;5;2;10;Luzern
18;4;Interlaken;Service Stations;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
19;4;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;XXS;13;1;13;Luzern
20;4;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
21;4;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
22;4;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
23;4;Zermatt;Hotel;United Arab Emirates;AE;7.75;45.99;S;XXS;3;1;3;Luzern
24;4;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;XS;3;2;6;Luzern
25;3;Interlaken;Hotel;United Arab Emirates;AE;7.86;46.69;XL;XXS;13;1;13;Luzern
26;3;Lauterbrunnen;Hotel;United Arab Emirates;AE;7.89;46.55;M;XXS;5;1;5;Luzern
27;3;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
28;3;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
29;3;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
30;3;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
31;3;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
32;3;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XXS;2;1;2;Luzern
33;2;Bern;Shopping;United Arab Emirates;AE;7.41;46.95;XS;XS;2;2;4;Luzern
34;2;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;S;XS;3;2;6;Luzern
35;2;Engelberg;Transportation;United Arab Emirates;AE;8.43;46.82;M;XS;5;2;10;Luzern
36;2;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;S;XXS;3;1;3;Luzern
37;2;Grindelwald;Bakeries;United Arab Emirates;AE;8.05;46.62;XS;XS;2;2;4;Luzern
38;2;Interlaken;Clocks, Jewelery;United Arab Emirates;AE;7.86;46.69;M;XXS;5;1;5;Luzern
39;2;Interlaken;Hotel;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
40;2;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
41;2;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
42;2;Kriens;Hotel;United Arab Emirates;AE;8.26;47.02;M;XS;5;2;10;Luzern
43;2;Kriens;Shopping;United Arab Emirates;AE;8.26;47.02;S;XS;3;2;6;Luzern
44;2;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;S;XS;3;2;6;Luzern
45;2;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;L;XS;8;2;16;Luzern
46;2;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;M;3;5;15;Luzern
47;2;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
48;2;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
49;2;Luzern;Transportation;United Arab Emirates;AE;8.33;47.05;S;XXS;3;1;3;Luzern
50;2;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;S;5;3;15;Luzern
51;2;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
52;2;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
53;2;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
54;2;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
55;1;Broc;FoodStore;United Arab Emirates;AE;7.12;46.6;M;XXS;5;1;5;Luzern
56;1;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;S;S;3;3;9;Luzern
57;1;Engelberg;Shopping;United Arab Emirates;AE;8.43;46.82;M;S;5;3;15;Luzern
58;1;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;XS;XS;2;2;4;Luzern
59;1;Engelberg;Transportation;United Arab Emirates;AE;8.43;46.82;M;XS;5;2;10;Luzern
60;1;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XXS;5;1;5;Luzern
61;1;Grindelwald;Supermarket;United Arab Emirates;AE;8.05;46.62;XS;XXS;2;1;2;Luzern
62;1;Grindelwald;Transportation;United Arab Emirates;AE;8.05;46.62;M;XXS;5;1;5;Luzern
63;1;Interlaken;Clocks, Jewelery;United Arab Emirates;AE;7.86;46.69;S;XS;3;2;6;Luzern
64;1;Interlaken;Other;United Arab Emirates;AE;7.86;46.69;S;XS;3;2;6;Luzern
65;1;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;M;S;5;3;15;Luzern
66;1;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;M;S;5;3;15;Luzern
67;1;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;S;2;3;6;Luzern
68;1;Jungfraujoch;Shopping;United Arab Emirates;AE;7.98;46.55;S;S;3;3;9;Luzern
69;1;Kriens;Hotel;United Arab Emirates;AE;8.26;47.02;M;XS;5;2;10;Luzern
70;1;Kriens;Shopping;United Arab Emirates;AE;8.26;47.02;S;XS;3;2;6;Luzern
71;1;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;S;XS;3;2;6;Luzern
72;1;Luzern;Bakeries;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
73;1;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;S;13;3;39;Luzern
74;1;Luzern;Other;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
75;1;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;M;3;5;15;Luzern
76;1;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;M;5;5;25;Luzern
77;1;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;M;2;5;10;Luzern
78;1;Luzern;Tourist Attractions;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
79;1;Luzern;Transportation;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
80;1;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;S;5;3;15;Luzern
81;1;Zürich;Electronic Sales;United Arab Emirates;AE;8.48;47.36;XS;XXS;2;1;2;Luzern
82;1;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
83;1;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
84;1;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
85;1;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
86;1;Zürich Flughafen;Restaurant;United Arab Emirates;AE;8.52;47.35;S;XXS;3;1;3;Luzern
87;0;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;S;S;3;3;9;Luzern
88;0;Engelberg;Shopping;United Arab Emirates;AE;8.43;46.82;S;S;3;3;9;Luzern
89;0;Engelberg;Transportation;United Arab Emirates;AE;8.43;46.82;M;S;5;3;15;Luzern
90;0;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;S;XXS;3;1;3;Luzern
91;0;Interlaken;Service Stations;United Arab Emirates;AE;7.86;46.69;XXS;XXS;1;1;1;Luzern
92;0;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;S;XXS;3;1;3;Luzern
93;0;Kriens;Hotel;United Arab Emirates;AE;8.26;47.02;S;S;3;3;9;Luzern
94;0;Kriens;Restaurant;United Arab Emirates;AE;8.26;47.02;XS;S;2;3;6;Luzern
95;0;Kriens;Service Stations;United Arab Emirates;AE;8.26;47.02;S;XXS;3;1;3;Luzern
96;0;Kriens;Shopping;United Arab Emirates;AE;8.26;47.02;S;S;3;3;9;Luzern
97;0;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;S;M;3;5;15;Luzern
98;0;Luzern;Bakeries;United Arab Emirates;AE;8.33;47.05;XS;M;2;5;10;Luzern
99;0;Luzern;Clocks, Jewelery;United Arab Emirates;AE;8.33;47.05;L;M;8;5;40;Luzern
100;0;Luzern;Electronic Sales;United Arab Emirates;AE;8.33;47.05;XS;XS;2;2;4;Luzern
101;0;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;M;13;5;65;Luzern
102;0;Luzern;Other;United Arab Emirates;AE;8.33;47.05;XS;XXS;2;1;2;Luzern
103;0;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;L;3;8;24;Luzern
104;0;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;L;5;8;40;Luzern
105;0;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;M;2;5;10;Luzern
106;0;Luzern;Tourist Attractions;United Arab Emirates;AE;8.33;47.05;S;M;3;5;15;Luzern
107;0;Luzern;Transportation;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
108;0;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;S;5;3;15;Luzern
109;0;Zürich;Other;United Arab Emirates;AE;8.48;47.36;M;XXS;5;1;5;Luzern
110;0;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
111;0;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;XXL;XS;21;2;42;Luzern
112;0;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;S;2;3;6;Luzern
113;-1;Bern;Shopping;United Arab Emirates;AE;7.41;46.95;M;XS;5;2;10;Luzern
114;-1;Broc;FoodStore;United Arab Emirates;AE;7.12;46.6;M;XS;5;2;10;Luzern
115;-1;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;S;S;3;3;9;Luzern
116;-1;Engelberg;Shopping;United Arab Emirates;AE;8.43;46.82;S;S;3;3;9;Luzern
117;-1;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;XS;S;2;3;6;Luzern
118;-1;Engelberg;Transportation;United Arab Emirates;AE;8.43;46.82;M;S;5;3;15;Luzern
119;-1;Interlaken;Bakeries;United Arab Emirates;AE;7.86;46.69;XS;XXS;2;1;2;Luzern
120;-1;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;S;S;3;3;9;Luzern
121;-1;Interlaken;Service Stations;United Arab Emirates;AE;7.86;46.69;XXS;XS;1;2;2;Luzern
122;-1;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
123;-1;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;S;2;3;6;Luzern
124;-1;Kriens;Hotel;United Arab Emirates;AE;8.26;47.02;XS;XXS;2;1;2;Luzern
125;-1;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;M;XS;5;2;10;Luzern
126;-1;Luzern;Bakeries;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
127;-1;Luzern;Clocks, Jewelery;United Arab Emirates;AE;8.33;47.05;L;XS;8;2;16;Luzern
128;-1;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;L;M;8;5;40;Luzern
129;-1;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;M;3;5;15;Luzern
130;-1;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;M;5;5;25;Luzern
131;-1;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;M;2;5;10;Luzern
132;-1;Luzern;Tourist Attractions;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
133;-1;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XS;5;2;10;Luzern
134;-1;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;XL;S;13;3;39;Luzern
135;-1;Zürich;Other;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
136;-1;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
137;-1;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
138;-1;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
139;-1;Zürich Flughafen;Restaurant;United Arab Emirates;AE;8.52;47.35;XS;XS;2;2;4;Luzern
140;-2;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;XS;XS;2;2;4;Luzern
141;-2;Engelberg;Shopping;United Arab Emirates;AE;8.43;46.82;S;XXS;3;1;3;Luzern
142;-2;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;XS;XS;2;2;4;Luzern
143;-2;Engelberg;Transportation;United Arab Emirates;AE;8.43;46.82;M;XS;5;2;10;Luzern
144;-2;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;S;XS;3;2;6;Luzern
145;-2;Genève;Supermarket;United Arab Emirates;AE;6.14;46.21;S;XS;3;2;6;Luzern
146;-2;Glattbrugg;Hotel;United Arab Emirates;AE;8.56;47.4;S;XXS;3;1;3;Luzern
147;-2;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;XS;S;2;3;6;Luzern
148;-2;Interlaken;Service Stations;United Arab Emirates;AE;7.86;46.69;XXS;XS;1;2;2;Luzern
149;-2;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;S;S;3;3;9;Luzern
150;-2;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;S;2;3;6;Luzern
151;-2;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;XS;XS;2;2;4;Luzern
152;-2;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;M;13;5;65;Luzern
153;-2;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;M;3;5;15;Luzern
154;-2;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;S;5;3;15;Luzern
155;-2;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
156;-2;Luzern;Tourist Attractions;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
157;-2;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XS;5;2;10;Luzern
158;-2;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
159;-2;Zürich;Other;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
160;-2;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
161;-2;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
162;-2;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
163;-3;Broc;FoodStore;United Arab Emirates;AE;7.12;46.6;M;XXS;5;1;5;Luzern
164;-3;Engelberg;Restaurant;United Arab Emirates;AE;8.43;46.82;XS;XS;2;2;4;Luzern
165;-3;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XS;5;2;10;Luzern
166;-3;Interlaken;Clocks, Jewelery;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
167;-3;Interlaken;Hotel;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
168;-3;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;S;S;3;3;9;Luzern
169;-3;Kriens;Transportation;United Arab Emirates;AE;8.26;47.02;S;XS;3;2;6;Luzern
170;-3;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;XS;13;2;26;Luzern
171;-3;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
172;-3;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;S;5;3;15;Luzern
173;-3;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
174;-3;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;S;5;3;15;Luzern
175;-3;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
176;-3;Zürich;Other;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
177;-3;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
178;-3;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
179;-3;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
180;-4;Broc;FoodStore;United Arab Emirates;AE;7.12;46.6;S;XS;3;2;6;Luzern
181;-4;Genève;Restaurant;United Arab Emirates;AE;6.14;46.21;XS;XS;2;2;4;Luzern
182;-4;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;XS;XXS;2;1;2;Luzern
183;-4;Interlaken;Clocks, Jewelery;United Arab Emirates;AE;7.86;46.69;M;XS;5;2;10;Luzern
184;-4;Interlaken;Restaurant;United Arab Emirates;AE;7.86;46.69;S;XS;3;2;6;Luzern
185;-4;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;S;XS;3;2;6;Luzern
186;-4;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
187;-4;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;XS;13;2;26;Luzern
188;-4;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
189;-4;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
190;-4;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;L;XS;8;2;16;Luzern
191;-4;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;L;S;8;3;24;Luzern
192;-4;Zürich;Other;United Arab Emirates;AE;8.48;47.36;S;XS;3;2;6;Luzern
193;-4;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
194;-4;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
195;-4;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XXS;2;1;2;Luzern
196;-5;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XS;5;2;10;Luzern
197;-5;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
198;-5;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XXS;5;1;5;Luzern
199;-5;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
200;-5;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
201;-5;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
202;-5;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
203;-5;Zürich Flughafen;Restaurant;United Arab Emirates;AE;8.52;47.35;XS;XXS;2;1;2;Luzern
204;-5;Zürich Flughafen;Shopping;United Arab Emirates;AE;8.52;47.35;S;XXS;3;1;3;Luzern
205;-6;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
206;-6;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;S;XXS;3;1;3;Luzern
207;-6;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
208;-6;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;XS;S;2;3;6;Luzern
209;-6;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
210;-6;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
211;-7;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;S;5;3;15;Luzern
212;-7;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
213;-7;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
214;-7;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;S;XS;3;2;6;Luzern
215;-7;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
216;-8;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;XXS;2;1;2;Luzern
217;-8;Zürich;Hotel;United Arab Emirates;AE;8.48;47.36;XL;XS;13;2;26;Luzern
218;-8;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;S;5;3;15;Luzern
219;-8;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
220;-9;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XS;5;2;10;Luzern
221;-9;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;S;XXS;3;1;3;Luzern
222;-10;Genève;Hotel;United Arab Emirates;AE;6.14;46.21;XL;XS;13;2;26;Luzern
223;-10;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
224;-10;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;XS;XS;2;2;4;Luzern
225;-10;Zürich;Supermarket;United Arab Emirates;AE;8.48;47.36;XS;XXS;2;1;2;Luzern
226;8;Luzern;Restaurant;Australia;AU;8.33;47.05;XS;XS;2;2;4;Luzern
227;8;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;XS;2;2;4;Luzern
228;8;Zürich;Supermarket;Australia;AU;8.48;47.36;XS;XXS;2;1;2;Luzern
229;7;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;XXS;2;1;2;Luzern
230;6;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;XS;2;2;4;Luzern
231;5;Lauterbrunnen;Hotel;Australia;AU;7.89;46.55;S;XXS;3;1;3;Luzern
232;5;Luzern;Supermarket;Australia;AU;8.33;47.05;S;XS;3;2;6;Luzern
233;4;Grindelwald;Restaurant;Australia;AU;8.05;46.62;M;XXS;5;1;5;Luzern
234;4;Grindelwald;Transportation;Australia;AU;8.05;46.62;XS;XS;2;2;4;Luzern
235;4;Luzern;Hotel;Australia;AU;8.33;47.05;M;XS;5;2;10;Luzern
236;4;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;XS;2;2;4;Luzern
237;4;Zürich;Restaurant;Australia;AU;8.48;47.36;S;XXS;3;1;3;Luzern
238;3;Interlaken;Supermarket;Australia;AU;7.86;46.69;XS;XXS;2;1;2;Luzern
239;3;Lauterbrunnen;Hotel;Australia;AU;7.89;46.55;S;XS;3;2;6;Luzern
240;3;Luzern;Hotel;Australia;AU;8.33;47.05;M;XS;5;2;10;Luzern
241;3;Luzern;Shopping;Australia;AU;8.33;47.05;M;XXS;5;1;5;Luzern
242;3;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;S;2;3;6;Luzern
243;3;Zürich;Restaurant;Australia;AU;8.48;47.36;S;XS;3;2;6;Luzern
244;3;Zürich;Shopping;Australia;AU;8.48;47.36;S;S;3;3;9;Luzern
245;3;Zürich;Supermarket;Australia;AU;8.48;47.36;XS;S;2;3;6;Luzern
246;2;Bern;Restaurant;Australia;AU;7.41;46.95;XS;XXS;2;1;2;Luzern
247;2;Bern;Transportation;Australia;AU;7.41;46.95;S;XS;3;2;6;Luzern
248;2;Engelberg;Restaurant;Australia;AU;8.43;46.82;XS;XXS;2;1;2;Luzern
249;2;Grindelwald;Transportation;Australia;AU;8.05;46.62;XS;XXS;2;1;2;Luzern
250;2;Interlaken;Supermarket;Australia;AU;7.86;46.69;XS;XS;2;2;4;Luzern
251;2;Kriens;Transportation;Australia;AU;8.26;47.02;S;XXS;3;1;3;Luzern
252;2;Luzern;Clocks, Jewelery;Australia;AU;8.33;47.05;S;XS;3;2;6;Luzern
253;2;Luzern;Hotel;Australia;AU;8.33;47.05;M;S;5;3;15;Luzern
254;2;Luzern;Restaurant;Australia;AU;8.33;47.05;S;S;3;3;9;Luzern
255;2;Luzern;Shopping;Australia;AU;8.33;47.05;S;S;3;3;9;Luzern
256;2;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;S;2;3;6;Luzern
257;2;St. Gallen;Shopping;Australia;AU;9.38;47.43;S;XXS;3;1;3;Luzern
258;2;Zürich;Restaurant;Australia;AU;8.48;47.36;S;XS;3;2;6;Luzern
259;2;Zürich;Shopping;Australia;AU;8.48;47.36;S;XXS;3;1;3;Luzern
260;2;Zürich;Supermarket;Australia;AU;8.48;47.36;XS;S;2;3;6;Luzern
261;1;Basel;Restaurant;Australia;AU;7.58;47.56;XS;XXS;2;1;2;Luzern
262;1;Bern;Transportation;Australia;AU;7.41;46.95;S;XS;3;2;6;Luzern
263;1;Engelberg;Restaurant;Australia;AU;8.43;46.82;S;XS;3;2;6;Luzern
264;1;Interlaken;Transportation;Australia;AU;7.86;46.69;S;XXS;3;1;3;Luzern
265;1;Kriens;Hotel;Australia;AU;8.26;47.02;S;S;3;3;9;Luzern
266;1;Lauterbrunnen;Hotel;Australia;AU;7.89;46.55;S;XS;3;2;6;Luzern
267;1;Luzern;Bakeries;Australia;AU;8.33;47.05;XS;S;2;3;6;Luzern
268;1;Luzern;Clocks, Jewelery;Australia;AU;8.33;47.05;M;XS;5;2;10;Luzern
269;1;Luzern;Hotel;Australia;AU;8.33;47.05;M;M;5;5;25;Luzern
270;1;Luzern;Restaurant;Australia;AU;8.33;47.05;S;M;3;5;15;Luzern
271;1;Luzern;Shopping;Australia;AU;8.33;47.05;S;M;3;5;15;Luzern
272;1;Luzern;Supermarket;Australia;AU;8.33;47.05;XS;M;2;5;10;Luzern
273;1;Luzern;Tourist Attractions;Australia;AU;8.33;47.05;XS;XS;2;2;4;Luzern
274;1;Luzern;Transportation;Australia;AU;8.33;47.05;S;XS;3;2;6;Luzern
